"","Dive.ID","Material.Type","Code","Length","Width","Median","Weight","Model","Debris._kgs"
"244","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"245","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"246","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"247","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"248","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"249","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"250","D5","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",74.38914868
"251","D5","unknown","OPHR",NA,NA,0.1,0.1,"WLM",74.38914868
"252","D5","unknown","POLY",1.006,0.077,0.137,1.13839554328956,"Lpower",74.38914868
"253","D5","unknown","POLY",2.792,0.223,0.137,2.23475115433197,"Lpower",74.38914868
"254","D5","unknown","POLY",1.24,1.19,0.137,1.30231366040862,"Lpower",74.38914868
"255","D6","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",22.22602613
"256","D6","unknown","MTHR",7.997,6.333,0.1395,3.05254098944306,"WLM",22.22602613
"257","D6","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",22.22602613
"258","D6","unknown","MTHR",0.748,0.45,0.1395,0.11066013578906,"WLM",22.22602613
"259","D6","unknown","PAGR",NA,NA,0.941,0.941,"WLM",22.22602613
"260","D6","unknown","POLY",2.391,0.089,0.137,2.01200866420171,"Lpower",22.22602613
"261","D6","unknown","POLY",1.245,0.099,0.137,1.3057172234379,"Lpower",22.22602613
"262","D6","unknown","POLY",1.191,0.084,0.137,1.2687542824487,"Lpower",22.22602613
"263","D7","unknown","MTHR",0.629,0.357,0.1395,0.06415411515506,"WLM",119.7483857
"264","D7","unknown","OPHR",0.596,0.503,0.1,0.200194295348936,"WLM",119.7483857
"265","D7","unknown","OPHR",0.558,0.526,0.1,0.201332689295936,"WLM",119.7483857
"266","D7","unknown","OPHR",0.363,0.372,0.1,0.193710399389936,"WLM",119.7483857
"267","D7","unknown","OPHR",NA,NA,0.1,0.1,"WLM",119.7483857
"268","D7","unknown","OPHR",NA,NA,0.1,0.1,"WLM",119.7483857
"269","D7","unknown","OPHR",NA,NA,0.1,0.1,"WLM",119.7483857
"270","D7","unknown","OPHR",NA,NA,0.1,0.1,"WLM",119.7483857
"271","D7","unknown","OPHR",NA,NA,0.1,0.1,"WLM",119.7483857
"272","D7","unknown","PAGR",1.393,0.934,0.941,1.23031706321725,"WLM",119.7483857
"273","D7","unknown","POLY",2.557,0.407,0.137,2.10538257439865,"Lpower",119.7483857
"274","D8","unknown","BIVL",NA,NA,0.2675,0.2675,"Wpower",13.6077711
"275","D8","unknown","GLRH",0.826,0.531,0.497,1.23411438647657,"Lpower",13.6077711
"276","D8","unknown","GLRH",1.048,0.582,0.497,1.65265439471151,"Lpower",13.6077711
"277","D8","unknown","GLRH",0.732,0.504,0.497,1.08715722934721,"Lpower",13.6077711
"278","D8","unknown","GLRH",0.705,0.564,0.497,1.04826817439235,"Lpower",13.6077711
"279","D8","unknown","GLRH",0.517,0.446,0.497,0.818501594950824,"Lpower",13.6077711
"280","D8","unknown","GLRH",0.602,0.388,0.497,0.913509579410519,"Lpower",13.6077711
"281","D8","unknown","MTHR",1.061,0.9,0.1395,0.33568926788906,"WLM",13.6077711
"282","D8","unknown","MTHR",1.075,0.962,0.1395,0.36669328164506,"WLM",13.6077711
"283","D8","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",13.6077711
"284","D8","unknown","MTHR",0.427,0.335,0.1395,0.05315269091906,"WLM",13.6077711
"285","D8","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",13.6077711
